"name","LineRate"
"BoardGameHub.Api.Models.UndoSettings","100"
"BoardGameHub.Api.Services.GameHistoryService/<RecordGameSession>d__2","100"
"BoardGameHub.Api.Models.Player","100"
"BoardGameHub.Api.Models.GameAction","100"
"BoardGameHub.Api.Models.GameSession","100"
"BoardGameHub.Api.Controllers.AuthController","100"
"BoardGameHub.Api.Models.GameSettings","100"
"BoardGameHub.Api.Services.GameHistoryService","100"
"BoardGameHub.Api.Services.GameHistoryService/<GetUserGameHistory>d__3","100"
"BoardGameHub.Api.Services.GameHistoryService/<>c","100"
"BoardGameHub.Api.Services.OneAndOnlyState","100"
"BoardGameHub.Api.Services.SymbologyState","100"
"BoardGameHub.Api.Services.SymbologyMarker","100"
"BoardGameHub.Api.Services.ScatterbrainGameService/<StartRound>d__4","100"
"BoardGameHub.Api.Services.RoomService/<>c__DisplayClass20_0","100"
"BoardGameHub.Api.Services.RoomService/<StartGame>d__20","100"
"BoardGameHub.Api.Services.Games.GreatMinds.GreatMindsGameService/<BroadcastState>d__11","100"
"BoardGameHub.Api.Services.Games.GreatMinds.GreatMindsGameService/<StartRound>d__5","100"
"BoardGameHub.Api.Services.Games.GreatMinds.GreatMindsGameService/<>c__DisplayClass8_0","100"
"BoardGameHub.Api.Data.AppDbContext","100"
"BoardGameHub.Api.Services.Games.GreatMinds.GreatMindsGameService/<>c","100"
"BoardGameHub.Api.Models.User","100"
"BoardGameHub.Api.Models.WisecrackPromptAssignment","100"
"BoardGameHub.Api.Models.TokenEntry","100"
"BoardGameHub.Api.Services.ScriptSlot","100"
"BoardGameHub.Api.Services.BreakingNewsState","100"
"BoardGameHub.Api.Services.BabbleGameService/<>c__DisplayClass8_1","100"
"BoardGameHub.Api.Models.WisecrackVote","100"
"BoardGameHub.Api.Models.WisecrackState","100"
"BoardGameHub.Api.Services.BabbleResult","100"
"BoardGameHub.Api.Models.WisecrackAnswer","100"
"BoardGameHub.Api.Models.WisecrackBattle","100"
"BoardGameHub.Api.Models.SushiPlayerState","100"
"BoardGameHub.Api.Services.DeepfakeState","100"
"BoardGameHub.Api.Controllers.RegisterDto","100"
"BoardGameHub.Api.Models.RoomSummary","100"
"BoardGameHub.Api.Services.DeepfakeStroke","100"
"BoardGameHub.Api.Controllers.LoginDto","100"
"BoardGameHub.Api.Models.ServerStats","100"
"BoardGameHub.Api.Models.SushiCard","100"
"BoardGameHub.Api.Models.PlayerSummary","100"
"BoardGameHub.Api.Models.Room","94.73"
"BoardGameHub.Api.Controllers.AuthController/<Register>d__4","92.85"
"BoardGameHub.Api.Models.GameDefinition","92.85"
"BoardGameHub.Api.Services.SymbologyGameService","90.32"
"BoardGameHub.Api.Controllers.AuthController/<Login>d__5","88.88"
"BoardGameHub.Api.Services.Games.GreatMinds.GreatMindsGameService/<SubmitSync>d__9","88"
"BoardGameHub.Api.Services.Games.GreatMinds.GreatMindsGameService/<SubmitCard>d__8","87.03"
"BoardGameHub.Api.Models.UniversalTranslatorState","81.81"
"BoardGameHub.Api.Models.SushiTrainState","80"
"BoardGameHub.Api.Services.ScatterbrainState","80"
"BoardGameHub.Api.Services.Games.GreatMinds.GreatMindsGameService/<NextLevel>d__10","80"
"BoardGameHub.Api.Services.BreakingNewsGameService","78.66"
"BoardGameHub.Api.Models.GameSessionPlayer","75"
"BoardGameHub.Api.Services.UniversalTranslatorService","73.49"
"BoardGameHub.Api.Services.BabbleGameService","71.87"
"BoardGameHub.Api.Services.SushiTrainGameService","71.51"
"BoardGameHub.Api.Services.BabbleState","71.42"
"BoardGameHub.Api.Services.DeepfakeGameService","68.81"
"BoardGameHub.Api.Services.Games.GreatMinds.GreatMindsGameService","64.44"
"BoardGameHub.Api.Services.WisecrackGameService","63.43"
"BoardGameHub.Api.Services.DictionaryService","59.09"
"BoardGameHub.Api.Services.OneAndOnlyService","52.13"
"BoardGameHub.Api.Services.BabbleGameService/<HandleAction>d__8","51.16"
"BoardGameHub.Api.Services.ScatterbrainData","50.74"
"BoardGameHub.Api.Services.BabbleGameService/<>c__DisplayClass8_0","50"
"BoardGameHub.Api.Services.Games.GreatMinds.GreatMindsGameState","40"
"BoardGameHub.Api.Services.ScatterbrainGameService","37.1"
"BoardGameHub.Api.Services.RoomService","33.98"
"BoardGameHub.Api.Hubs.GameHub/<SendIceCandidate>d__47","0"
"BoardGameHub.Api.Hubs.GameHub/<SendAnswer>d__46","0"
"BoardGameHub.Api.Hubs.SocialHub/<GetFriends>d__7","0"
"BoardGameHub.Api.Hubs.SocialHub/<AcceptFriendRequest>d__5","0"
"BoardGameHub.Api.Hubs.SocialHub/<GetFriendRequests>d__8","0"
"BoardGameHub.Api.Hubs.GameHub/<RenamePlayer>d__21","0"
"BoardGameHub.Api.Hubs.GameHub/<PauseGame>d__8","0"
"BoardGameHub.Api.Hubs.GameHub/<RequestUndo>d__16","0"
"BoardGameHub.Api.Hubs.GameHub/<RevealPictophoneNext>d__30","0"
"BoardGameHub.Api.Hubs.GameHub/<ResumeGame>d__9","0"
"BoardGameHub.Api.Hubs.GameHub/<UpdateUndoSettings>d__15","0"
"BoardGameHub.Api.Hubs.SocialHub/<GetGlobalChatHistory>d__6","0"
"BoardGameHub.Api.Controllers.ClientLoggingController","0"
"BoardGameHub.Api.Hubs.GameHub/<UpdateSettings>d__14","0"
"BoardGameHub.Api.Controllers.LogEntry","0"
"BoardGameHub.Api.Hubs.GameHub/<SendMessage>d__44","0"
